 3696.00000, 10481.00000, 1566, 28611268,10.0 Wavelength region, lines selected, lines processed, Vmicro
                                                                     Lande factors       Damping parameters  Central
Spec Ion       WL_air(A)  log gf* E_low(eV) J lo E_up(eV)  J up  lower   upper    mean   Rad.   Stark  Waals  depth
'Ne 2',        3726.8707, -1.000, 31.5124,  1.5, 34.8383,  1.5, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.013,
'  LS                                                       2s2.2p4.(3P).3p             2P*'
'  LS                                                         2s2.2p4.(3P).3d            4P'
'ND         Ne 1-9 NIST dataNe+              2 wl:NIST10   2 gf:NIST10   2 NIST10   2 NIST10   2 NIST10   2 NIST10   2 NIST10   2 NIST10   2 NIST10'
'Ne 2',        3727.1081, -0.090, 27.8592,  0.5, 31.1848,  1.5, 99.000, 99.000, 99.000, 0.000,-5.650, 0.000, 0.227,
'  LS                                                        2s2.2p4.(3P).3s             2P'
'  LS                                                        2s2.2p4.(3P).3p            2D*'
'ND         Ne 1-9 NIST dataNe+              2 wl:NIST10   2 gf:NIST10   2 NIST10   2 NIST10   2 NIST10   2 NIST10   5 KP   2 NIST10   2 NIST10'
'O 2',         3727.3190, -0.328, 22.9793,  1.5, 26.3047,  1.5, 99.000, 99.000, 99.000, 8.990, 0.000, 0.000, 0.354,
'  LS                                                           2s2.2p2.(3P).3s          4P'
'  LS                                                             2s2.2p2.(3P).3p       4S*'
'NB         CNO, Na 1, Mg 1:O+               4 wl:NIST10   4 gf:NIST10   4 NIST10   4 NIST10   5 WSG   5 WSG   5 WSG   5 WSG   4 NIST10'
'O 3',         3728.5060,  0.275, 46.4524,  2.0, 49.7767,  3.0, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.030,
'  LS                                                          2s.2p2.(4P).3p           3D*'
'  LS                                                              2s.2p2.(4P).3d        3F'
'NC+        CNO, Na 1, Mg 1:O+2              4 wl:NIST10   4 gf:NIST10   4 NIST10   4 NIST10   5 KP   5 KP   5 KP   5 KP   4 NIST10'
'O 3',         3728.8380,  0.435, 46.4687,  3.0, 49.7927,  4.0, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.037,
'  LS                                                          2s.2p2.(4P).3p           3D*'
'  LS                                                              2s.2p2.(4P).3d        3F'
'NC+        CNO, Na 1, Mg 1:O+2              4 wl:NIST10   4 gf:NIST10   4 NIST10   4 NIST10   5 KP   5 KP   5 KP   5 KP   4 NIST10'
'O 2',         3729.2250, -0.691, 28.8239,  0.5, 32.1476,  1.5, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.042,
'  LS                                                          2s2.2p2.(1D).3p          2P*'
'  LS                                                              2s2.2p2.(1D).4s       2D'
'NC         CNO, Na 1, Mg 1:O+               4 wl:NIST10   4 gf:NIST10   4 NIST10   4 NIST10   4 NIST10   4 NIST10   4 NIST10   4 NIST10   4 NIST10'
'O 2',         3729.3220, -0.540, 28.8239,  0.5, 32.1475,  1.5, 99.000, 99.000, 99.000, 9.010, 0.000, 0.000, 0.057,
'  LS                                                            2s2.2p2.(1D).3p        2P*'
'  LS                                                              2s2.2p2.(1D).4s       2D'
'_          Li 1 - K 5 Bell O+               5 wl:WSG   5 gf:WSG   5 WSG   5 WSG   5 WSG   5 WSG   5 WSG   5 WSG   5 WSG'
'O 3',         3729.8020,  0.105, 46.4410,  1.0, 49.7642,  2.0, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.023,
'  LS                                                          2s.2p2.(4P).3p           3D*'
'  LS                                                              2s.2p2.(4P).3d        3F'
'NC+        CNO, Na 1, Mg 1:O+2              4 wl:NIST10   4 gf:NIST10   4 NIST10   4 NIST10   5 KP   5 KP   5 KP   5 KP   4 NIST10'
'He 1',        3730.8390, -2.662, 21.2180,  1.0, 24.5403,  2.0, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.066,
'  LS                                                            1s.2p                  1P*'
'  LS                                                              1s.17d                1D'
